Time,Pload,CGbuy,PGbuy,statoc,Bchg,Bdischg
1,169,90,169,0,0,0
2,175,90,275,0.475,100,0
3,179,90,179,0.475,0,0
4,171,90,271,0.95,100,0
5,181,90,181,0.95,0,0
6,172,90,182.526,1,10.5263,0
7,270,110,270,1,0,0
8,264,110,264,1,0,0
9,273,110,273,1,0,0
10,281,110,281,1,0,0
11,193,110,193,1,0,0
12,158,125,158,1,0,0
13,161,125,61,0.473684,0,100
14,162,125,162,0.473684,0,0
15,250,125,250,0.473684,0,0
16,260,125,170,0,0,90
17,267,125,267,0,0,0
18,271,125,271,0,0,0
19,284,110,284,0,0,0
20,167,110,167,0,0,0
21,128,110,128,0,0,0
22,134,110,134,0,0,0
23,144,110,144,0,0,0
24,150,110,150,0,0,0
